"TIME","uzonal","umeridional"
2021-07-21_03,-1.0800,-0.5713
2021-07-21_06,-0.1003,1.0064
2021-07-21_09,-1.3626,-1.9158
2021-07-21_12,-0.9430,-1.0122
2021-07-21_15,-1.4141,-2.2054
2021-07-21_18,-1.1574,-0.4766
2021-07-21_21,-0.0739,-0.5230
2021-07-22_00,-0.1887,-0.5768
2021-07-22_03,-0.2753,0.1481
2021-07-22_06,0.3797,-0.0308
2021-07-22_09,0.2537,-0.9809
2021-07-22_12,-0.6772,-1.2379
2021-07-22_15,0.1829,0.2065
2021-07-22_18,0.6119,1.4584
2021-07-22_21,0.6208,2.7410
2021-07-23_00,0.5402,2.3245
2021-07-23_03,0.5278,2.5217
2021-07-23_06,1.1140,2.5499
2021-07-23_09,0.8021,2.5111
2021-07-23_12,-1.0141,2.9748
2021-07-23_15,-0.8104,4.0782
2021-07-23_18,-0.1972,4.3654
2021-07-23_21,-0.1645,4.6061
2021-07-24_00,-0.7793,4.9622
2021-07-24_03,-0.5148,4.9787
2021-07-24_06,-0.9511,5.4614
2021-07-24_09,-1.8746,4.8657
2021-07-24_12,-2.8293,4.8773
2021-07-24_15,-2.7313,4.7580
2021-07-24_18,-2.3806,4.7390
2021-07-24_21,-1.9849,3.9071
2021-07-25_00,-1.7330,3.4682
2021-07-25_03,-1.2431,2.5465
2021-07-25_06,-0.4815,1.8228
2021-07-25_09,-0.1882,1.1254
2021-07-25_12,-0.4644,1.0400
2021-07-25_15,-0.4961,1.0423
2021-07-25_18,0.0197,1.1151
2021-07-25_21,0.0686,0.5030
2021-07-26_00,0.2238,-0.5319
